Date,State,Estimated_Migrant_Workers,GSDP_per_capita_Lakhs,Avg_Wage,Unemployment_Rate_%,Corn_Yield_kg_per_ha,Rice_Yield_kg_per_ha,Wheat_Yield_kg_per_ha,T2M,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,Population
2000-01,Andhra Pradesh,20795,10.62,14360,6.82,2649.01,2944.69,3026.69,25.4,62.06,2.16,0,18.18,100.4,75408509
2000-02,Andhra Pradesh,5860,12.18,13621,5.08,2956.91,2906.34,2718.05,26.97,67.58,3.18,2.53,17.56,100.19,75474977
2000-03,Andhra Pradesh,43158,9.09,13830,2.98,2973.76,3306.97,2635.68,28.69,60.63,2.61,0,23.86,100.04,75541503
2000-04,Andhra Pradesh,49732,9,13630,5.26,2662.77,2814.63,2636.99,33.08,54.04,3.38,0.07,25.38,99.66,75608088
2000-05,Andhra Pradesh,16284,8.14,14269,6.35,2572.59,2234.69,2196.28,33.26,51.27,3.34,1.66,22.54,99.57,75674732
2000-06,Andhra Pradesh,11265,8.01,14455,6.18,2331.31,2594.87,2909.99,29.09,69.72,3.77,5.32,16.76,99.34,75741434
2000-07,Andhra Pradesh,21850,9.28,13959,6.03,2227.59,2435.08,3312.98,28.11,75.08,3.66,4.16,17.25,99.38,75808195
2000-08,Andhra Pradesh,42194,10.8,13975,5.36,2432.27,3027.01,2301.34,27.25,80.11,3.51,9.61,15.78,99.44,75875015
2000-09,Andhra Pradesh,26962,14.82,14282,8.2,2336.69,3044.37,2397.15,27.21,82.76,1.93,4.03,19.44,99.75,75941894
2000-10,Andhra Pradesh,49131,9.4,14066,5.66,2612.71,2759.74,2697.91,26.38,79.67,1.46,2.26,17.05,99.91,76008832
2000-11,Andhra Pradesh,21023,14.88,14004,6.18,2319.49,3740.91,2795.28,25.16,76.38,1.98,1.45,16.14,100.28,76075829
2000-12,Andhra Pradesh,46090,9.19,13666,5.23,2182.69,3329.02,2372.7,23.16,71.88,1.77,0.65,16.52,100.46,76142885
2001-01,Andhra Pradesh,6685,8.34,14660,5.1,2562.66,2216.13,2335.13,24.59,64.72,1.9,0.06,16.19,100.36,76210000
2001-02,Andhra Pradesh,5769,13.17,14426,5.56,2559.06,3295.39,2859.98,27.17,57.54,2.22,0,21.23,100.16,76277173
2001-03,Andhra Pradesh,7433,13.17,14487,5.2,2465.31,2879.56,2282.52,30.19,57.21,3.01,0.21,21.49,100.04,76344405
2001-04,Andhra Pradesh,10311,14.8,14991,5.99,2284.05,2815.74,3169.99,30.25,64.84,3.07,3.38,22.63,99.95,76411697
2001-05,Andhra Pradesh,42819,9.55,14447,6.31,2603.09,2294.78,2913.43,34.64,46.05,3.67,0.37,24.08,99.44,76479048
2001-06,Andhra Pradesh,44188,12.18,14881,3.06,2384.48,2729.23,3014.09,30.75,59.42,4.1,2.15,18.34,99.38,76546458
2001-07,Andhra Pradesh,22568,8.47,14461,6.33,2809.3,3372.51,2506.27,30.99,57.42,4.2,1.94,16.55,99.43,76613928
2001-08,Andhra Pradesh,24769,14.89,14515,7.32,2407.24,3132.51,3141.44,28.31,73.42,3.6,4.59,17.28,99.53,76681457
2001-09,Andhra Pradesh,33693,12.35,14311,5.83,2356.25,2925.74,2412.78,28.12,77.18,1.79,4.77,16.82,99.7,76749046
2001-10,Andhra Pradesh,11396,11.04,14397,5.55,2141.14,3325.01,3274.68,26.46,83.75,1.74,6.01,16.23,99.9,76816694
2001-11,Andhra Pradesh,32480,12.13,14851,3.98,2478.4,3401.41,2926.57,24.78,82.18,2.32,2.26,15.49,100.3,76884402
2001-12,Andhra Pradesh,46434,12.15,14100,4.68,2306.46,3144.56,3338.31,22.87,74.11,1.86,1.21,15.58,100.7,76952170
2002-01,Andhra Pradesh,30658,10.68,15432,4.98,2489.25,3625.86,1883.09,23.54,75.17,2.3,1.27,16.05,100.48,77019997
2002-02,Andhra Pradesh,23942,8.52,14758,6.92,2746.57,3034.82,2695.35,25.91,64.71,2.43,0.01,19.49,100.57,77087884
2002-03,Andhra Pradesh,23431,9.96,15011,7.34,2527.53,2204.97,2723.11,29.72,57.68,3.12,0.1,22.79,100.12,77155831
2002-04,Andhra Pradesh,7747,9.03,14850,7.13,2607.13,3591.16,2618.61,32.16,56.32,3.66,0.03,25.36,99.85,77223838
2002-05,Andhra Pradesh,5189,13.31,14647,6.5,2257.45,2799.3,3120.39,34.95,47.01,3.84,1.07,22.78,99.43,77291905
2002-06,Andhra Pradesh,24118,10.94,14667,7.46,2598.63,2788.1,2979.64,30.99,63.08,3.47,1.71,18.51,99.45,77360032
2002-07,Andhra Pradesh,40773,11.23,15193,7.77,2529.12,3387.46,2554.28,31.26,57.22,4.37,1.74,19.1,99.53,77428219
2002-08,Andhra Pradesh,6899,13.21,15606,4.65,2401.7,2843.16,2287.77,28.86,70.74,3.67,5.41,17.08,99.54,77496466
